,male,female,flames_result
5244,cody king,barbara acevedo,Friends
5245,matthew hood,jennifer hall,Marriage
5246,brian francis,kelly steele,Friends
5247,jared patel,jamie cowan,Marriage
5248,ryan romero,jamie bass,Affection
5249,jose martin,melissa hood,Enemy
5250,dennis odom,meghan jones,Enemy
5251,edward sanchez,tiffany rollins,Affection
5252,brent young,rebecca wong,Enemy
5253,brian serrano,brenda parker,Marriage
5254,keith wilson,amy hall,Affection
5255,jared knapp,sherri greene,Marriage
5256,thomas rodriguez,jamie gibson,Love
5257,kevin hogan,shirley kelly,Affection
5258,dennis baxter,nicole wilson,Affection
5259,edward garrison,donna solis,Enemy
5260,robert drake,claudia garcia,Affection
5261,eric white,tammy payne,Friends
5262,joshua williams,kathy swanson,Affection
5263,jared stone,kristy smith,Affection
5264,steven jones,erica fuentes,Enemy
5265,james miller,lauren adams,Friends
5266,robert tanner,lindsey lucero,Affection
5267,david ortega,brandi lee,Enemy
5268,john lopez,kristen simmons,Marriage
5269,brian ellis,stephanie page,Enemy
5270,benjamin cohen,abigail johnson,Enemy
5271,garrett vaughn,lisa ellis,Affection
5272,kyle adams,kylie pope,Enemy
5273,brett hansen,amanda jones,Enemy
5274,gregory boyer,candace williams,Enemy
5275,matthew myers,diane mullins,Friends
5276,steven simmons,samantha james,Enemy
5277,gabriel carroll,rachael hester,Affection
5278,tyler roberts,heather byrd,Enemy
5279,william moss,gloria coleman,Affection
5280,terry wilkins,amber martin,Love
5281,james davidson,sandra stone,Marriage
5282,gary sims,elizabeth hudson,Friends
5283,jason taylor,jennifer mueller,Marriage
5284,scott jones,sheri johnson,Enemy
5285,danny collins,melissa harmon,Affection
5286,vincent price,kara mason,Friends
5287,angel buchanan,heidi hoffman,Affection
5288,james ponce,jennifer mayer,Enemy
5289,jonathan williams,michelle jennings,Marriage
5290,jonathan robles,katrina wiley,Marriage
5291,juan decker,jessica price,Enemy
5292,peter rodriguez,april cross,Affection
5293,patrick thompson,jennifer lowe,Affection
5294,robert tanner,cheryl lindsey,Friends
5295,dustin wilson,maria gates,Friends
5296,jeff cummings,karen burns,Affection
5297,austin schwartz,betty owen,Marriage
5298,frederick ross,tiffany williams,Friends
5299,michael sims,dr mary anderson,Marriage
5300,dean roberts,laura floyd,Marriage
5301,andrew evans,ashley miller,Affection
5302,alan baker,katherine braun,Friends
5303,justin marshall,jessica leon,Enemy
5304,keith graham,amber hartman dds,Affection
5305,alex bishop,lori wolf,Love
5306,gary russo,mary nelson,Enemy
5307,timothy daniels,michele torres,Enemy
5308,stanley mendoza,christina flynn,Affection
5309,michael compton,kari compton,Friends
5310,colin brown,jamie hall,Friends
5311,steven perkins,christine reed,Marriage
5312,robert ward,gina anderson,Enemy
5313,mike garcia,lynn jacobson,Affection
5314,ricardo nguyen,angel fisher,Enemy
5315,juan williams,krystal melton,Affection
5316,matthew west,kim crawford,Marriage
5317,jeffrey mcguire,nicole bond,Friends
5318,christopher hays,christina gill,Affection
5319,john howard,elizabeth smith,Friends
5320,paul jennings jr,emily hernandez,Affection
5321,james adams,catherine villanueva,Love
5322,christopher collins,andrea pope,Friends
5323,anthony wong,amy schwartz,Marriage
5324,gregory schmidt,valerie russo,Affection
5325,anthony gonzalez,lori chambers,Marriage
5326,thomas salazar,morgan dudley,Affection
5327,nathaniel cox,ruth adams,Affection
5328,curtis porter jr,jennifer ho,Marriage
5329,connor jones md,melissa rodriguez,Affection
5330,michael rose,jodi cuevas,Affection
5331,william bryant,margaret cross,Friends
5332,frederick hernandez,jessica daugherty,Affection
5333,jon johnson,brenda reyes,Marriage
5334,richard wyatt,alyssa nguyen,Affection
5335,sean allison,kathleen liu,Enemy
5336,jeffrey coleman,karina mejia,Enemy
5337,paul wright,jessica woods,Friends
5338,alexander turner,ann sanders,Marriage
5339, andrew taylor,sandra marshall,Enemy
5340,steven smith,rebecca barnes,Friends
5341,carl hill,laura castillo,Friends
5342,kevin parker,heather ashley,Affection
5343,derrick robertson,elizabeth lopez,Friends
5344,david williamson,stephanie mays,Affection
5345,joshua taylor,brooke morris,Affection
5346,juan cooper,sarah martinez,Affection
5347,carl warren,brooke lloyd md,Friends
5348,ryan turner,heidi mullins,Marriage
5349,jason christensen,dominique armstrong,Enemy
5350,kevin barton,toni johnson,Enemy
5351,thomas jones,sarah castillo dds,Marriage
5352,kenneth webb,megan wood,Marriage
5353,robert gordon,kathleen smith,Affection
5354,anthony thomas,ashley edwards,Friends
5355,cameron strickland,veronica robinson,Enemy
5356,clifford martinez,katherine black,Love
5357,javier mcintyre,sara snyder,Love
5358,corey cook,elizabeth hancock,Affection
5359,connor brown,katherine dillon,Friends
5360,robert washington,amy stewart,Love
5361,russell frederick,tina pearson,Friends
5362,michael perez,adriana henderson,Affection
5363,ryan kim,melissa ellis,Affection
5364,samuel sanchez,tiffany mclaughlin,Affection
5365,jason williams,jennifer thompson,Affection
5366,raymond fry,denise bennett,Affection
5367,john ramos,angela warren,Marriage
5368,matthew smith,makayla parker,Marriage
5369,travis kim,penny farmer,Affection
5370,daniel james,jennifer atkins,Enemy
5371,alex esparza, deborah jackson,Marriage
5372,michael anthony,ashley rodriguez,Affection
5373,joseph church,hannah freeman,Marriage
5374,james vincent,wendy campbell,Affection
5375,eddie sanford,lisa carpenter,Enemy
5376,benjamin anderson,adriana michael,Enemy
5377,jonathan best,shelia rodriguez,Marriage
5378,joseph duncan md,kimberly diaz,Affection
5379,robert rivera,carly goodwin,Affection
5380,sean callahan,mckenzie henderson,Affection
5381,timothy walker,lori nunez,Affection
5382,robert delacruz,nichole martin,Love
5383,christopher ward,denise moyer,Love
5384,michael bird,samantha hansen,Affection
5385,jeremy harrison,michele mcmillan,Affection
5386,tyler robles,michelle vang,Marriage
5387,scott estrada,angela villarreal,Friends
5388,john calderon,carrie nelson,Friends
5389,zachary collins,morgan murray,Affection
5390,jeffrey cain,amy sawyer,Enemy
5391,john taylor,erica jenkins,Affection
5392,carlos koch,anna gibson,Affection
5393,zachary farmer,olivia berry,Marriage
5394,tyler white,kathryn english,Enemy
5395,douglas fuentes,debra garcia,Friends
5396,joseph pierce,jennifer landry,Friends
5397,michael miller jr,erin jarvis,Marriage
5398,james wells,debbie pugh,Friends
5399,ronald walker,lori johnson,Love
5400,william moore,anna summers,Affection
5401,brandon thomas,susan decker,Marriage
5402,chad morgan,lisa williams,Friends
5403,travis frazier,alison washington,Friends
5404,richard curtis,kelly simmons,Love
5405,james bradshaw,mary crosby,Enemy
5406,james nichols,michelle dalton,Friends
5407,francisco lyons,alicia franklin,Marriage
5408, james werner,kathleen mendoza,Friends
5409,jason chavez,dr karen evans,Love
5410,jeffrey smith,nicole phillips,Marriage
5411,michael gonzalez,gina taylor,Love
5412,christopher tucker,crystal russell,Marriage
5413,tony arias,nicole cardenas,Affection
5414, mark allison,amanda stephens,Friends
5415,joshua price,sheila bowen,Enemy
5416,william taylor jr,heather thomas,Marriage
5417,ryan conner,kelly fields,Friends
5418,david west,taylor hall,Friends
5419,benjamin henderson,melanie werner,Affection
5420,william blanchard,kelly wilkerson,Marriage
5421,stanley freeman,jennifer vargas,Affection
5422,victor case,laura white,Enemy
5423,david harrington,alexis anderson,Love
5424,brandon harris,jillian pena,Affection
5425,michael anderson,cindy montgomery,Enemy
5426,patrick gross,miss cheryl marshall dvm,Affection
5427,david sanders,erica johnson,Enemy
5428,jacob evans,mary phillips,Affection
5429,mark smith, wanda montoya md,Affection
5430,william fisher,sherry duarte,Affection
5431,robert skinner,jacqueline ford,Affection
5432,phillip james,linda patrick,Marriage
5433,thomas henry,allison wilcox,Marriage
5434,ross kelly,pamela randolph,Affection
5435,vincent dodson,stephanie bond,Marriage
5436,richard howard,miss theresa johnson,Marriage
5437,andre taylor,carol delacruz,Enemy
5438,terry webster,nicole williamson,Enemy
5439,gabriel thornton,alice jarvis,Affection
5440,larry mccullough,lauren reyes,Marriage
5441,austin hernandez,patricia archer,Love
5442,michael johnson,tanya hudson,Love
5443,maxwell wilson,mary mendoza,Affection
5444,tyler prince,rachel rodgers,Marriage
5445,jack clayton md,michelle brady,Marriage
5446,david brown,kimberly todd,Love
5447,john sandoval,ashley jones,Friends
5448,jacob griffin,amanda jackson,Marriage
5449,thomas lopez,shari lambert,Affection
5450,ronald cole,christina jones,Love
5451,christopher bowen,meredith johnson,Enemy
5452,david thornton,holly melton,Affection
5453,douglas bishop,ashley miller,Affection
5454,todd swanson,natalie cox,Love
5455,jonathan williams,jenna oliver,Enemy
5456,john robertson,susan smith,Affection
5457,raymond rocha,janet clark,Marriage
5458,michael riley,carolyn torres,Enemy
5459,christopher stout,joanne thompson,Marriage
5460,james peterson,karen stewart,Marriage
5461,alexander chambers,deborah luna,Marriage
5462,daniel russell,linda gonzales,Friends
5463,charles boone,deanna golden,Affection
5464,richard brooks,lisa wheeler,Affection
5465,james phillips,julie santos,Affection
5466,michael erickson,dawn kelly,Affection
5467,david santos,kelsey miller,Friends
5468,anthony butler,alison gates,Enemy
5469,craig holt,stephanie gomez,Marriage
5470,tristan roman,janice crawford,Marriage
5471,kenneth phillips,catherine chapman,Marriage
5472,benjamin schneider,danielle evans,Enemy
5473,tony pham,jasmin gomez,Love
5474,andrew turner,wendy pacheco,Marriage
5475,daniel hawkins,regina martin,Marriage
5476,douglas simpson,kimberly love,Friends
5477,philip martin,lindsey brooks,Marriage
5478,christopher rodriguez,ashley myers,Friends
5479,louis perry,barbara thomas,Marriage
5480,matthew rodriguez,crystal odonnell,Marriage
5481,christopher fisher,tammy gomez,Enemy
5482,jerry adams,diane bell,Marriage
5483,robert peterson,teresa mills,Love
5484,jeffrey parker md,ann smith,Love
5485,barry king,susan hansen,Affection
5486,ryan ferguson,janet murray,Enemy
5487,steven perez,amy collins,Affection
5488,william salazar,jennifer huber,Friends
5489,kevin santana,lindsay baker,Enemy
5490,danny gregory,melissa singleton,Friends
5491,adam jones,sophia hawkins,Marriage
5492,nicholas huang,debbie cruz,Affection
5493,john smith dvm,pamela doyle,Friends
5494,jerry dougherty,rebecca barnett,Marriage
5495,john pope,sandra haas,Friends
5496,christopher estrada,jessica smith,Affection
5497,michael anderson,jessica thomas,Enemy
5498,gary benjamin,vanessa cole,Affection
5499,paul andrews,danielle gibson,Enemy
5500,anthony brown,lorraine anderson,Marriage
5501,christopher boyer,ebony ellis,Marriage
5502,jeremy duran,victoria quinn,Friends
5503,jack johnson,michelle robinson,Affection
5504,william jenkins,madison gutierrez,Affection
5505,richard bender,nancy wright,Enemy
5506,karl preston,lori parker,Enemy
5507,mark davidson,kathy park,Affection
5508,jeffrey collins,marilyn martinez,Affection
5509,andrew perez,mary ashley,Marriage
5510,james wilson,christina barnes,Marriage
5511,jay johnson,holly levine,Marriage
5512,austin young,melissa eaton,Affection
5513,james hill,jasmin johnston,Enemy
5514,daryl ball,caroline flores,Affection
5515,jerry jones,susan baker,Enemy
5516,brandon wilkins,elizabeth jones,Marriage
5517,andrew hudson,melanie wade,Affection
5518,joshua lee,jessica arias,Affection
5519,robert reyes,kathleen gonzalez,Affection
5520,christopher simon,donna watts,Friends
5521,benjamin kennedy,rachel andrews,Affection
5522,justin martinez,shelly jordan,Affection
5523,wesley greene,dr karen anderson phd,Friends
5524,gerald ward,alexandra robbins,Love
5525,benjamin bautista,brandi smith,Marriage
5526,jason hooper,laurie wright,Friends
5527,jack allen,tracey duncan,Enemy
5528,john young,sarah moreno,Marriage
5529,gregory phillips,candace randall,Enemy
5530,joseph johnson,emma johnson,Enemy
5531,scott rodriguez,kathryn perkins,Marriage
5532,zachary page,robin bradley,Affection
5533, donald johnson,jennifer gonzales,Affection
5534,michael vaughn,megan watts,Marriage
5535,nicholas stafford,jennifer greene,Friends
5536,daniel strickland,sheila holden,Enemy
5537,david mcconnell,michele atkinson,Enemy
5538,jerry green,holly mccall,Love
5539,john blake,shelia gill,Enemy
5540,corey sharp,amy cortez,Marriage
5541,daniel evans,rhonda garcia,Marriage
5542,dustin murphy,stephanie johnson,Affection
5543,scott johnson,traci newton,Enemy
5544,anthony robles,crystal nelson,Friends
5545,marco mosley,maria douglas,Enemy
5546,ryan perry,jennifer cruz,Love
5547,donald boyd,kathy maddox,Affection
5548,aaron zamora,megan english,Affection
5549,gregory rosario,judy romero,Enemy
5550,edwin smith,lisa scott md,Affection
5551,ruben rios,cynthia davis,Friends
5552,david hampton,tamara johnson,Affection
5553,dr kenneth little,melissa harris,Friends
5554,luis washington,shawna horton,Marriage
5555,gary bell,tracy jones,Love
5556,ryan martin,jasmine cooper,Love
5557,kevin todd,nancy mullins,Marriage
5558,caleb mcgrath,monica peters,Enemy
5559,joseph reyes, amy casey,Love
5560,kevin hardin,jamie conner,Affection
5561,wesley cruz,rebecca tran,Marriage
5562,alan lewis,tonya murphy,Marriage
5563,brandon lee,alexis brandt,Friends
5564,randall taylor,jennifer hall,Love
5565,ryan dixon,linda blake,Enemy
5566,dr david williams,kristina higgins,Friends
5567,martin rush,alexandra johnson,Marriage
5568,jay jacobs,jodi johnson,Love
5569,austin anderson,amber singh,Affection
5570,james fields,amanda soto,Love
5571,john hart,amanda rose,Affection
5572,michael martin,lisa moore,Enemy
5573,steven lewis,valerie phillips,Affection
5574,billy hunter,jennifer mcclure,Enemy
5575,randall brock,dawn davis,Affection
5576,patrick stewart,crystal kelly,Affection
5577,eduardo cook,michelle cruz,Affection
5578,michael wolfe,susan holland,Affection
5579,brandon nguyen,denise castro,Enemy
5580,joshua norris,christy garcia,Love
5581,cody gonzales,stephanie frank,Marriage
5582,david sullivan,rebecca spencer,Enemy
5583,michael simpson,sarah golden,Enemy
5584,kevin soto,brandi mccormick,Friends
5585,derrick johnson,tanya andrews,Affection
5586,joseph hill,samantha ellis,Enemy
5587,justin thomas,kari flynn,Friends
5588,zachary burns,kelly james,Marriage
5589,dustin martin,amanda thomas,Marriage
5590,joseph morris,barbara rodriguez,Marriage
5591,michael torres,linda gregory,Love
5592,jason fox,jennifer vasquez,Affection
5593,wesley lewis,autumn knox,Friends
5594,evan watkins,tiffany rodriguez,Friends
5595,barry conner,melanie simmons,Friends
5596,marcus cole,shelby joseph,Affection
5597,jeffrey cantu, destiny allen,Affection
5598,joseph gonzalez,carol warren,Affection
5599,robert paul,megan robinson,Marriage
5600,james king,angela baker,Enemy
5601,daniel williams,lori melton,Enemy
5602,barry larson,brittany mitchell,Marriage
5603,ryan kirby,jo higgins,Affection
5604,eric reyes,victoria morales,Enemy
5605,bryce beck,lauren moore,Affection
5606,cameron lewis,kimberly jackson,Marriage
5607,richard hamilton,olivia wade,Marriage
5608,jack alvarez,carla montes,Enemy
5609,matthew contreras,deborah weber,Love
5610,andrew gardner,leslie carroll,Friends
5611,jay moore,patricia reed,Marriage
5612,richard jones,deborah braun,Enemy
5613,matthew jimenez,melissa green,Marriage
5614,cameron richardson,christy burton,Love
5615,douglas robinson,jessica barr,Affection
5616,william green,lisa lewis,Marriage
5617,timothy robinson,emily patterson,Enemy
5618,jesse brown,jane francis,Affection
5619,tyler nelson,tina frazier,Marriage
5620,danny carson,margaret hernandez,Affection
5621,william becker,courtney howard,Marriage
5622,logan rodgers, kristi white,Friends
5623,charles pope,sandra castaneda,Love
5624,tyler johnson,colleen dickerson,Enemy
5625,kevin golden,amy riley,Affection
5626,jamie edwards,patricia lara,Affection
5627,danny sosa,stephanie rich,Affection
5628,patrick roberts,laura patel,Enemy
5629,james shaw,meghan hicks,Enemy
5630,timothy mclean,tiffany johnson,Enemy
5631,eric baker,elizabeth collins,Affection
